2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpnpep2v15.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp__su9ib1.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp_w_puxla.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp69_zwd8i.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpj2t1p9d_.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpssfampto.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmphodnyzqj.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpu3fei5v0.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmppvfdpjnu.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmppskbr8kz.csv (编码: utf-8)
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator | Step 1: 加载数据 tmphi47supi.csv
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmphi47supi.csv (编码: utf-8)
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator | Step 2: 清洗前数据分析
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator |   清洗前质量评分: 90.0 (A)
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator | Step 3: 移除重复行
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator |   已移除 1 个重复行
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator | Step 4: 填充缺失值 (策略: mean)
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator |   已填充 0 个缺失值
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator | Step 5: 日期标准化
